2017-01-25 12:51:07,845 | MainProcess | INFO | The use of the instrument profiles has been granted by the manager.
2017-01-25 12:51:07,933 | MainProcess | INFO | Starting measure .
2017-01-25 12:51:11,319 | MeasureProcess | INFO | Logger parametrised
2017-01-25 12:51:11,319 | MeasureProcess | INFO | Process running
2017-01-25 12:51:11,471 | MeasureProcess | INFO | Task built
2017-01-25 12:51:11,473 | MeasureProcess | WARNING | Automatic initialisation based on OS detection
2017-01-25 12:51:11,835 | MeasureProcess | INFO | Check successful
2017-01-25 12:52:00,117 | MainProcess | INFO | Measure  processed, status : COMPLETED
2017-01-25 12:52:00,117 | MainProcess | INFO | Stopping measure .
2017-01-25 12:52:01,124 | MeasureProcess | INFO | Process shuting down
2017-01-25 13:01:05,191 | MainProcess | INFO | The use of the instrument profiles has been granted by the manager.
2017-01-25 13:01:05,242 | MainProcess | INFO | Starting measure .
2017-01-25 13:01:05,608 | MeasureProcess | INFO | Logger parametrised
2017-01-25 13:01:05,609 | MeasureProcess | INFO | Process running
2017-01-25 13:01:05,637 | MeasureProcess | INFO | Task built
2017-01-25 13:01:05,638 | MeasureProcess | WARNING | Automatic initialisation based on OS detection
2017-01-25 13:01:06,154 | MeasureProcess | INFO | Check successful
2017-01-25 13:01:54,551 | MainProcess | INFO | Measure  processed, status : COMPLETED
2017-01-25 13:01:54,551 | MainProcess | INFO | Stopping measure .
2017-01-25 13:01:55,549 | MeasureProcess | INFO | Process shuting down
2017-01-25 13:03:49,943 | MainProcess | INFO | The use of the instrument profiles has been granted by the manager.
2017-01-25 13:03:49,994 | MainProcess | INFO | Starting measure .
2017-01-25 13:03:50,361 | MeasureProcess | INFO | Logger parametrised
2017-01-25 13:03:50,361 | MeasureProcess | INFO | Process running
2017-01-25 13:03:50,388 | MeasureProcess | INFO | Task built
2017-01-25 13:03:50,391 | MeasureProcess | WARNING | Automatic initialisation based on OS detection
2017-01-25 13:03:50,743 | MeasureProcess | INFO | Check successful
2017-01-25 13:04:39,084 | MainProcess | INFO | Measure  processed, status : COMPLETED
2017-01-25 13:04:39,084 | MainProcess | INFO | Stopping measure .
2017-01-25 13:04:40,092 | MeasureProcess | INFO | Process shuting down
2017-01-25 13:11:45,117 | MainProcess | INFO | The use of the instrument profiles has been granted by the manager.
2017-01-25 13:11:45,171 | MainProcess | INFO | Starting measure .
2017-01-25 13:11:45,539 | MeasureProcess | INFO | Logger parametrised
2017-01-25 13:11:45,539 | MeasureProcess | INFO | Process running
2017-01-25 13:11:45,565 | MeasureProcess | INFO | Task built
2017-01-25 13:11:45,568 | MeasureProcess | WARNING | Automatic initialisation based on OS detection
2017-01-25 13:11:45,921 | MeasureProcess | INFO | Check successful
2017-01-25 13:12:34,226 | MainProcess | INFO | Measure  processed, status : COMPLETED
2017-01-25 13:12:34,226 | MainProcess | INFO | Stopping measure .
2017-01-25 13:12:35,233 | MeasureProcess | INFO | Process shuting down
